#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
Wikipedia_handpicked_1:1486,"Le 5 février, l’OMS a appelé la communauté internationale à contribuer à hauteur de 675 millions de dollars pour financer la préparation stratégique dans les pays à faible revenu, invoquant l’urgence de soutenir ces pays qui « ne disposent pas des systèmes nécessaires pour détecter les personnes ayant contracté le virus, même s’il était sur le point d’apparaître ».","On 5 February, the WHO appealed to the global community for a $675 million contribution to fund strategic preparedness in low-income countries, citing the urgency to support those countries which ""do not have the systems in place to detect people who have contracted the virus, even if it were to emerge""."
Wikipedia_handpicked_1:1487,"Tedros a ensuite déclaré que nous étions « aussi forts que notre maillon le plus faible » et a exhorté la communauté internationale à « investir aujourd’hui ou payer plus demain ». Le 11 février, l’OMS a établi dans une conférence de presse que la maladie portait le nom de COVID-19.","Tedros further made statements declaring that ""we are only as strong as our weakest link"" and urged the international community to ""invest today or pay more later"".On 11 February, the WHO in a press conference established COVID-19 as the name of the disease."
Wikipedia_handpicked_1:1488,"Le même jour, Tedros a déclaré que le secrétaire général de l’ONU António Guterres avait accepté d’intégrer la « force de tout le système des Nations Unies dans la réponse ».","On the same day, Tedros stated that UN Secretary-General António Guterres had agreed to provide the ""power of the entire UN system in the response""."
Wikipedia_handpicked_1:1489,"Une équipe de gestion de crise de l’ONU a donc été activée, permettant de coordonner l’ensemble de la réponse des Nations Unies, ce qui d’après l’OMS leur permettra de « se concentrer sur la réponse sanitaire tandis que les autres agences pourront apporter leur expertise pour gérer les implications sociales, économiques et de développement plus larges de l’épidémie ».","A UN Crisis Management Team was activated as a result, allowing coordination of the entire United Nations response, which the WHO states will allow them to ""focus on the health response while the other agencies can bring their expertise to bear on the wider social, economic and developmental implications of the outbreak""."
Wikipedia_handpicked_1:1490,"Le 14 février, une équipe de mission conjointe dirigée par l’OMS a été activée en Chine afin de dépêcher des experts internationaux et de l’OMS sur place en Chine pour soutenir la gestion nationale et évaluer « la gravité et la transmission de la maladie » en organisant des ateliers et des réunions avec les principales institutions nationales et de mener des visites sur le terrain en vue d’évaluer « l’impact des activités de réponse au niveau des provinces et des comtés, y compris en milieu urbain et rural ». Le 25 février, l’OMS a déclaré que « le monde devrait faire plus pour se préparer à une possible pandémie de coronavirus », indiquant que bien qu’il soit trop tôt pour parler de pandémie, chaque pays devrait néanmoins entrer « en phase de préparation ».","On 14 February, a WHO-led Joint Mission Team with China was activated to provide international and WHO experts on the ground in China to assist in the domestic management and evaluate ""the severity and the transmissibility of the disease"" by hosting workshops and meetings with key national-level institutions and to conduct field visits to assess the ""impact of response activities at provincial and county levels, including urban and rural settings"".On 25 February, the WHO declared that ""the world should do more to prepare for a possible coronavirus pandemic,"" stating that while it was still too early to call it a pandemic, countries should nonetheless be ""in a phase of preparedness""."
Wikipedia_handpicked_1:1491,"En réponse au développement de l’épidémie en Iran, l’OMS a envoyé une équipe de mission conjointe sur place pour évaluer la situation. Le 28 février, les représentants de l’OMS ont déclaré que l’évaluation de la menace liée au coronavirus au niveau mondial était passée de « élevée » à « très élevée », son plus haut niveau d’alerte et d’évaluation des risques.","In response to a developing outbreak in Iran, the WHO sent a Joint Mission Team there to assess the situation.On 28 February, WHO officials said that the coronavirus threat assessment at the global level would be raised from ""high"" to ""very high"", its highest level of alert and risk assessment."
Wikipedia_handpicked_1:1492,"Mike Ryan, directeur exécutif du programme de gestion des situations d’urgence sanitaire de l’OMS, a prévenu dans une déclaration : « Il s’agit d’un retour à la réalité pour chaque gouvernement de la planète : réveillez-vous.","Mike Ryan, executive director of the WHO's health emergencies program, warned in a statement that ""This is a reality check for every government on the planet: Wake up."
Wikipedia_handpicked_1:1493,"Ce virus est peut-être en route et vous devez vous tenir prêts », ajoutant que les bonnes mesures de réponse pourraient aider le monde à éviter « le pire ».","This virus may be on its way and you need to be ready,"" urging that the right response measures could help the world avoid ""the worst of it""."
Wikipedia_handpicked_1:1494,"Ryan a ensuite indiqué que les données actuelles ne permettaient pas aux responsables de la santé publique d’annoncer une pandémie mondiale, précisant qu’une telle déclaration signifierait que « nous acceptons dans l’absolu que chaque humain sur la planète soit exposé à ce virus ».","Ryan further stated that the current data did not warrant public health officials to declare a global pandemic, saying that such a declaration would mean ""we're essentially accepting that every human on the planet will be exposed to that virus."""
Wikipedia_handpicked_1:1495,"Le 11 mars, l’OMS a déclaré que l’épidémie de coronavirus pouvait être qualifiée de pandémie.","On 11 March, the WHO declared the coronavirus outbreak a pandemic."
Wikipedia_handpicked_1:1496,"Le directeur général a indiqué que l’OMS était « extrêmement préoccupée tant par les niveaux alarmants de propagation et de sévérité que par les niveaux alarmants d’inaction ». L’OMS a fait face à d’importantes critiques quant à sa gestion de la pandémie, jugée inadéquate, notamment en raison de la déclaration tardive d’une urgence de santé publique et de la classification du virus comme pandémie.","The Director-General said that the WHO was ""deeply concerned both by the alarming levels of spread and severity, and by the alarming levels of inaction"".The WHO has faced significant criticism for what is seen as inadequate handling of the pandemic, including the late declaration of a public health emergency and the classification of the virus as a pandemic."
Wikipedia_handpicked_1:1497,"Cette réaction négative a été appuyée par une pétition incitant le directeur général de l’OMS Tedros Adhanom à remettre sa démission, signée par 733 000 personnes au 6 avril.","The backlash included a petition for the WHO Director-General Tedros Adhanom to tender his resignation, signed by 733,000 people as of 6 April."
Wikipedia_handpicked_1:1498,"Le 26 mars 2020, des dizaines d’experts des droits de l’homme de l’ONU ont mis l’accent sur le respect des droits de chaque individu durant la pandémie de COVID-19.","On 26 March 2020, dozens of UN human rights experts emphasized respecting the rights of every individual during the COVID-19 pandemic."
Wikipedia_handpicked_1:1499,Le groupe d’experts a indiqué que tout le monde était en droit de bénéficier d’interventions de secours et que cette responsabilité incombait au gouvernement.,The expert group stated that everyone is entitled to life-saving interventions and the government holds this responsibility.
